feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
81,0.02540518909692764,0.02540518909692764,combined,combined,"{""combined"": 0.02540518909692764}","[' love', ' liefde', 'love', 'HomeAsUpEnabled', ' braccia']",0
249,0.009963405430316926,0.009963405430316926,combined,combined,"{""combined"": 0.009963405430316926}","[' a', ' an', '\n\n', ' The', ' resulting']",0
642,0.0027483498081564903,0.0027483498081564903,combined,combined,"{""combined"": 0.0027483498081564903}","[' helps', ' help', ' enable', ' enables', ' مما']",0
9,0.0009858527183532716,0.0009858527183532716,combined,combined,"{""combined"": 0.0009858527183532716}","[' we', '>())', ' colombiana', ' accept', '++)\r']",0
227,0.0004320654617622495,0.0004320654617622495,combined,combined,"{""combined"": 0.0004320654617622495}","[' almost', 'Almost', 'almost', ' Almost', ' nearly']",0
198,0.0003832872211933136,0.0003832872211933136,combined,combined,"{""combined"": 0.0003832872211933136}","[' case', 'Case', ' Case', 'case', ' cases']",0
597,0.0001400504820048809,0.0001400504820048809,combined,combined,"{""combined"": 0.0001400504820048809}","[' world', ' planète', ' global', ' dünya', ' mondial']",0
417,0.00012741442769765855,0.00012741442769765855,combined,combined,"{""combined"": 0.00012741442769765855}","[' horror', ' creepy', ' spooky', ' haunted', ' Horror']",0
452,3.714783815667033e-05,3.714783815667033e-05,combined,combined,"{""combined"": 3.714783815667033e-05}","[' text', ' texte', ' textes', ' texto', ' Text']",0
571,3.079717373475432e-05,3.079717373475432e-05,combined,combined,"{""combined"": 3.079717373475432e-05}","[' examination', ' Examination', ' examine', ' Examine', 'Examination']",0
151,1.3937657931819557e-05,1.3937657931819557e-05,combined,combined,"{""combined"": 1.3937657931819557e-05}","[' event', ' attended', ' eventType', ' attend', ' Attend']",0
0,8.718141820281744e-06,8.718141820281744e-06,combined,combined,"{""combined"": 8.718141820281744e-06}","[' facts', ' Facts', 'facts', 'Facts', ' factual']",0
482,2.6897834613919256e-06,2.6897834613919256e-06,combined,combined,"{""combined"": 2.6897834613919256e-06}","[' batting', ' bats', ' batsman', 'ญิง', ' polí']",0
491,2.275156555697322e-06,2.275156555697322e-06,combined,combined,"{""combined"": 2.275156555697322e-06}","["" $('."", ' $("".', ' $(""#', "" $('#"", ""$('.""]",0
215,2.1313922479748726e-06,2.1313922479748726e-06,combined,combined,"{""combined"": 2.1313922479748726e-06}","['Congratulations', ' congratulated', ' congratulate', ' congrat', ' Congratulations']",0
