feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
771,0.9916953449249267,0.9916953449249267,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.9916953449249267, ""question"": 0.9916953449249267, ""combined"": 0.9916953449249267}","['.', ',', ';', ' because', '..']",0
232,0.11688141107559204,0.11688141107559204,question,question,"{""question"": 0.11688141107559204}","[' is', '帖最后由', ' represents', ' defaultstate', ' verhe']",0
344,0.02676307964324951,0.02676307964324951,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.02676307964324951}","[' both', ' begge', 'Both', ' ambos', 'both']",0
359,0.006793524667620659,0.006793524667620659,combined,combined,"{""combined"": 0.006793524667620659}","[' ', ' far', 'core', '::', ' par']",0
527,0.006137344405055046,0.006137344405055046,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.006137344405055046, ""question"": 0.006137344405055046, ""combined"": 0.006137344405055046}","[' ', ' Ready', ' Private', ' Practice', ' John']",0
383,0.0008175585046410561,0.0008175585046410561,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 0.0008175585046410561, ""combined"": 0.0008175585046410561}","[' everything', 'enterOuterAlt', ' Everything', 'Everything', 'Bronnen']",0
218,0.0005901283957064152,0.0005901283957064152,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.0005901283957064152}","['\n\n', '볍', 'WebServlet', 'werb', 'DeltaTime']",0
318,0.0005277185216546058,0.0005277185216546058,question,"combined,question","{""question"": 0.0005277185216546058, ""combined"": 0.0005277185216546058}","[' December', ' month', ' June', 'December', ' January']",0
488,0.0003772190567106009,0.0003772190567106009,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0003772190567106009, ""question"": 0.0003772190567106009, ""combined"": 0.0003772190567106009}","['\n\n', '\n\n\n', '\n', ' Two', ' An']",0
688,0.000234923692420125,0.000234923692420125,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 0.000234923692420125, ""combined"": 0.000234923692420125}","[' system', ' système', ' systeem', ' sistema', 'ssystem']",0
493,9.022121783345938e-05,9.022121783345938e-05,question,"combined,question","{""question"": 9.022121783345938e-05, ""combined"": 9.022121783345938e-05}","[' member', 'member', ' Member', 'Member', ' members']",0
591,7.842666050419211e-05,7.842666050419211e-05,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 7.842666050419211e-05, ""combined"": 7.842666050419211e-05}","[' now', ' Now', 'Now', 'now', ' ahora']",0
33,4.745042603462934e-05,4.745042603462934e-05,question,"combined,question","{""question"": 4.745042603462934e-05, ""combined"": 4.745042603462934e-05}","[' Philippine', ' Philippines', ' Filipino', 'Philippine', ' Filipinos']",0
748,4.49463464319706e-05,4.49463464319706e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 4.49463464319706e-05, ""question"": 4.49463464319706e-05, ""combined"": 4.49463464319706e-05}","['I', '1', '\n', '\n\n', 'Is']",0
299,1.3389878440648318e-05,1.3389878440648318e-05,combined,combined,"{""combined"": 1.3389878440648318e-05}","['          ', '              ', '                         ', '                        ', '                          ']",0
