cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
0,werb / or / because,"werb, or, because, WebServlet, Two, Ready, Private, Practice",6,0.1664742499750185,0.9916953449249267,771,0.9916953449249267,"clar_vocab2,combined,question","., ,, ;,  because, ..","[771, 527, 218]"
7,waste / goal / Wish,"waste, goal, Wish, Waste, Goal, Budget, wish, dream",4,6.620996864512562e-06,2.4572219699621198e-05,19,2.4572219699621198e-05,"clar_vocab2,combined"," Budgets,  Budget, Budget,  Budgeting,  budget","[19, 455, 131]"
3,simple / Boring / uninteresting,"simple, Boring, uninteresting, tiny, semplici, piccoli, boring, bland",2,0.0008302122335880995,0.0016523818820714951,711,0.0016523818820714951,"combined,question"," simple,  tiny, simple,  piccoli,  semplici","[711, 584]"
19,December / month / lists,"December, month, lists, list, collections, collection, List, June",2,0.00026391475927084685,0.0005277185216546058,318,0.0005277185216546058,"combined,question"," December,  month,  June, December,  January","[318, 106]"
15,same / Similarly / similarly,"same, Similarly, similarly, similar, other, another, Likewise",2,0.00015802122722379864,0.0003071726895868778,480,0.0003071726895868778,"combined,question"," similar,  other,  same,  another, same","[480, 721]"
8,price / free / Price,"price, free, Price, priced, gratuite, gratis, FREE",2,0.00012351629382465035,0.0002120317332446575,565,0.0002120317332446575,clar_vocab2," price,  Price,  priced, price, Price","[565, 113]"
5,national / member / National,"national, member, National, Member, members, NATIONAL",2,4.534426936879754e-05,9.022121783345938e-05,493,9.022121783345938e-05,"combined,question"," member, member,  Member, Member,  members","[493, 457]"
16,experienced / Experienced / iteration,"experienced, Experienced, iteration, installment, inaugural, fifth, edition",2,1.071056956425309e-05,2.1366644650697707e-05,152,2.1366644650697707e-05,combined," experienced, experienced, Experienced,  Experienced, 经验","[152, 84]"
2,simplify / simplifying / simplified,"simplify, simplifying, simplified, Simplify",2,6.781141157262027e-06,1.3389878440648318e-05,299,1.3389878440648318e-05,combined,"          ,               ,                          ,                         ,                           ","[299, 549]"
6,verify / verified / inspect,"verify, verified, inspect, feedback, editing, dug, corregir, correction",2,1.635379157960415e-06,3.2161111012101175e-06,182,3.2161111012101175e-06,"clar_vocab2,combined"," feedback,  correction,  corregir,  editing, Feedback","[182, 579]"
13,also / wiederum / two,"also, wiederum, two, numerous, many, lagi, an, again",2,1.992440898902714e-06,2.4029714986681937e-06,708,2.4029714986681937e-06,question," again,  lagi,  also,  Lagi,  wiederum","[708, 166]"
9,Athlete / tagHelperRunner / franchise,"Athlete, tagHelperRunner, franchise, characters, athletes, Players, Franchise, Characters",2,1.6058681067079305e-06,2.1665883250534533e-06,596,2.1665883250534533e-06,"clar_vocab2,combined"," characters,  Characters, tagHelperRunner,  franchise,  Franchise","[596, 759]"
20,wpdb / undeniable / unavoidable,"wpdb, undeniable, unavoidable, provider, inevitable, inevit, indisputable, afficheront",2,1.0144506813958288e-06,1.1027383152395488e-06,372,1.1027383152395488e-06,combined," inevitable,  undeniable,  indisputable,  inevit,  unavoidable","[372, 810]"
4,tableware / issued / containers,"tableware, issued, containers, container, coins, bowls, bowl, Coins",2,1.1134601663798094e-07,1.6819755546748639e-07,275,1.6819755546748639e-07,"combined,question"," containers,  tableware,  bowls,  container,  bowl","[275, 387]"
1,Garage / suburb / neighbourhoods,"Garage, suburb, neighbourhoods, neighbourhood, neighborhoods, neighborhood, garages, garagem",2,8.274568244814872e-08,1.1099688708782196e-07,603,1.1099688708782196e-07,"combined,question"," neighborhoods,  neighbourhoods,  suburb,  neighborhood,  neighbourhood","[603, 250]"
23,verhe / represents / is,"verhe, represents, is, defaultstate",1,0.11688141107559204,0.11688141107559204,232,0.11688141107559204,question," is, 帖最后由,  represents,  defaultstate,  verhe",[232]
31,both / begge / ambos,"both, begge, ambos, Both",1,0.02676307964324951,0.02676307964324951,344,0.02676307964324951,clar_vocab2," both,  begge, Both,  ambos, both",[344]
