cluster,label,keywords,size,mean_output_score,max_output_score,rep_feature_id,rep_output_score,rep_vocabs_present,rep_top_tokens_preview,steering_features
6,date / This / Date,"date, This, Date, this, story, sentences, sentence, script",5,0.031161056119482965,0.15490541124343873,208,0.15490541124343873,"clar_vocab2,combined,question","This,  this, Okay, Interesting,  This","[208, 105, 361]"
14,react / private / React,"react, private, React, reportWebVitals, introduced, guapo, cstdio, WebVitals",5,0.004536891808081418,0.022658328115940093,191,0.022658328115940093,question,"

, 
, private, 


,  private","[191, 650, 303]"
36,I / we / you,"I, we, you, they, my, mijn, meiner, it",4,0.30961265771836044,0.9580040702819824,264,0.9580040702819824,"clar_vocab2,combined,question"," I,  we, 私は, 私も, I","[264, 124, 550]"
40,details / description / Details,"details, description, Details, thoroughly, thorough, spoilers, spoiler, exhaustive",4,0.37591065908782184,0.9540978355407714,118,0.9540978355407714,"combined,question"," details,  detail,  Details, details, Details","[118, 93, 145]"
4,legal / ceremony / ceremonies,"legal, ceremony, ceremonies, trámites, trámite, tramit, rituals, ritual",4,0.0020830659433268006,0.006480765581130981,8,0.006480765581130981,"clar_vocab2,combined,question"," ceremony,  ceremonies,  ceremon,  Ceremony,  ceremonia","[8, 147, 812]"
9,some / throughout / tbh,"some, throughout, tbh, stuff, skillfully, quelques, honestly, here",3,0.21173031974894307,0.6313451900482178,158,0.6313451900482178,clar_vocab2," some,  quelques, some,  einige, Some","[158, 592, 785]"
38,speaking / saying / Speaking,"speaking, saying, Speaking, stating, spokesperson, spokesman, spokes, said",3,0.18170072130990836,0.4506818332672119,302,0.4506818332672119,"clar_vocab2,combined"," saying,  said,  mengatakan, saying,  stating","[302, 228, 562]"
19,wenigen / wenige / weeks,"wenigen, wenige, weeks, uuuuu, uuuu, uuu, uu, u",3,0.08251485211409938,0.2358380012512207,488,0.2358380012512207,"clar_vocab2,combined,question"," dozen,  wenige,  hundred,  weeks,  wenigen","[488, 92, 603]"
2,inspired / dreams / dream,"inspired, dreams, dream, nyní, now, ideia, idea, dreaming",3,0.05562152428249828,0.16674674415588378,645,0.16674674415588378,"combined,question"," dream,  dreams, dream,  dreaming, dreams","[645, 159, 388]"
5,transaction / Transaction / transactional,"transaction, Transaction, transactional, phosphorylation, phosphory, phosph, kinases, kinase",3,0.03588466501670579,0.10461344051361084,260,0.10461344051361084,"clar_vocab2,combined,question"," transaction,  Transaction, transaction, Transaction,  transactional","[260, 104, 137]"
25,Java / java / collections,"Java, java, collections, St, Sankt, Saint, Portale, Petersburg",3,0.0001419222434827437,0.0004170809406787157,523,0.0004170809406787157,"clar_vocab2,combined,question"," St,  Saint,  Infór,  Sankt,  Petersburg","[523, 540, 623]"
11,skin / Skin / racist,"skin, Skin, racist, racism, racially, racial, embarrassment, embarrassing",3,3.123131487518549e-05,5.4924828000366694e-05,117,5.4924828000366694e-05,"combined,question"," skin,  Skin, skin,  dermat, Skin","[117, 98, 227]"
31,presso / for / emeritus,"presso, for, emeritus, chrétien, MockBean, Inscrivez, GOTREF",2,0.49780084245535544,0.9956015796661377,467,0.9956015796661377,"clar_vocab2,combined,question","-, ‐,  chrétien, ‑,  Inscrivez","[467, 194]"
8,,,2,0.6367157096862793,0.9902305068969727,119,0.9902305068969727,question," "",  “, 「, “,  „","[119, 741]"
20,take / steadily / proven,"take, steadily, proven, principalColumn, instrumental, have, come, become",2,0.3266589609120274,0.6533177604675293,631,0.6533177604675293,"clar_vocab2,combined,question"," be,  have,  become,  take,  come","[631, 494]"
54,version / Version / versions,"version, Version, versions, versión",2,0.3545209099054336,0.6040015468597412,438,0.6040015468597412,"combined,question"," version,  versions,  versión,  Version, version","[438, 214]"
7,answer / address / answers,"answer, address, answers, answered, addresses, Answer, Address, ADDRESS",2,0.22737005102634428,0.44384592247009275,121,0.44384592247009275,question," answer,  answers,  answered, answer,  Answer","[121, 365]"
65,stupid / Stop / stop,"stupid, Stop, stop, idiots, idiotic, idiot, cesse, cease",2,0.20165970969758928,0.4033187370300293,245,0.4033187370300293,"combined,question"," stop,  cease,  Stop,  cesse, Stop","[245, 773]"
0,ongoing / upwards / underway,"ongoing, upwards, underway, onwards, onward, forward, downwards, commenced",2,0.14627369298040868,0.2814930410385132,485,0.2814930410385132,"combined,question"," onwards,  onward,  upwards,  downwards,  forward","[485, 201]"
21,how / why / pioneers,"how, why, pioneers, pioneering, history, histories, fascinating, cómo",2,0.04376362577173859,0.08752373027801513,308,0.08752373027801513,clar_vocab2," how,  why,  cómo,  bagaimana, how","[308, 704]"
52,trees / compression / tree,"trees, compression, tree, queries, efficiently, compressed, compress, Compression",2,0.024550650596618654,0.03497232484817505,577,0.03497232484817505,"combined,question"," compression,  compress,  compressed,  Compression, compression","[577, 172]"
32,automatic / shops / schools,"automatic, shops, schools, restaurants, optional, conveniences, amenities, Bluetooth",2,0.007750913240946829,0.014716699630022048,386,0.014716699630022048,"combined,question"," automatic,  optional,  Bluetooth,  Automatic, automatic","[386, 37]"
27,somewhere / something / somehow,"somewhere, something, somehow, smoking, perhaps, immunosupp, faulty, diabetes",2,0.002099956351565197,0.004199637159705162,1,0.004199637159705162,"clar_vocab2,combined,question"," something,  somehow,  somewhere,  perhaps,  faulty","[1, 7]"
15,loading / primary / neutrals,"loading, primary, neutrals, loadings, loaded, isLoading, black, RegressionTest",2,0.0019194063628092408,0.003806710958480835,109,0.003806710958480835,"clar_vocab2,combined,question"," black,  secondary, RegressionTest,  neutrals,  primary","[109, 547]"
10,Twelve / twelve / ten,"Twelve, twelve, ten, eleven, Wic, WAC, Hec, GAC",2,0.00166815323359333,0.003335679106414318,287,0.003335679106414318,"combined,question"," ten,  twelve, Twelve,  Twelve,  eleven","[287, 703]"
26,immediate / IMO / IMHO,"immediate, IMO, IMHO, imo, forse, foreseeable, almeno",2,0.0006479056846583263,0.0012862805090844633,115,0.0012862805090844633,question," IMO,  IMHO,  imo, IMHO, IMO","[115, 289]"
13,interface / tagHelperRunner / mechanism,"interface, tagHelperRunner, mechanism, implemented, implementation, implement, enum, abſ",2,0.0003828701446764171,0.0007636424750089645,95,0.0007636424750089645,"combined,question"," implement,  mechanism,  implemented,  implementation, tagHelperRunner","[95, 96]"
37,válida / us / se,"válida, us, se, prioridad, mulia, him, emisión, dalamnya",2,0.00019561091251671313,0.00038987910002470015,518,0.00038987910002470015,clar_vocab2," se,  us,  dalamnya,  him,  mulia","[518, 31]"
34,second / Second / aarrggbb,"second, Second, aarrggbb, SECONDARY, <h2>, secondary, <h1>",2,0.00013736862689256668,0.0002741717267781496,780,0.0002741717267781496,"clar_vocab2,combined,question"," second, Second, 二, second,  Second","[780, 730]"
78,recién / officially / newly,"recién, officially, newly, launched, finished, featureID, disambiguazione, announced",2,0.0001177392415702343,0.0001782959746196866,206,0.0001782959746196866,"clar_vocab2,combined,question"," announced,  officially,  launched, featureID,  disambiguazione","[206, 344]"
24,though / wise / unto,"though, wise, unto, liest, lier, handed, gustar, Though",2,5.636919906828552e-05,0.00010795726836659014,715,0.00010795726836659014,"clar_vocab2,combined,question"," though, though, handed, Though,  THOUGH","[715, 293]"
29,UFO / Researchers / ufo,"UFO, Researchers, ufo, scientists, researchers, researcher, conspiracy, conspira",2,3.219979803543538e-05,6.004688120447099e-05,498,6.004688120447099e-05,"combined,question"," researchers, Researchers,  scientists,  researcher,  Researchers","[498, 567]"
28,header / toolbar / prépar,"header, toolbar, prépar, prerequisites, preamble, pre, navbar, bar",2,1.752928295172751e-05,3.472576104104519e-05,452,3.472576104104519e-05,"clar_vocab2,combined,question"," header, header,  navbar,  toolbar,  bar","[452, 21]"
3,wikidata / stephen / httphttps,"wikidata, stephen, httphttps, autorytatywna, Steve, PLANATION, Jobs",2,1.0980163468047976e-05,2.1855082362890244e-05,796,2.1855082362890244e-05,"clar_vocab2,combined,question"," Steve, ,  Jobs, PLANATION,  stephen","[796, 323]"
16,ord / letters / letter,"ord, letters, letter, oike, charCodeAt, alphabet",2,1.067321514710784e-05,2.066406514495611e-05,72,2.066406514495611e-05,"clar_vocab2,combined,question"," ord, ord, charCodeAt, (',  oike","[72, 42]"
18,she / he / AndEndTag,"she, he, AndEndTag",2,3.1829799991101022e-06,6.260883994400501e-06,315,6.260883994400501e-06,"combined,question"," !(, !(,  !, AndEndTag,  ((","[315, 411]"
