feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
485,0.2814930410385132,0.2814930410385132,question,"combined,question","{""question"": 0.2814930410385132, ""combined"": 0.2814930410385132}","[' onwards', ' onward', ' upwards', ' downwards', ' forward']",0
201,0.011054344922304154,0.011054344922304154,question,"combined,question","{""question"": 0.011054344922304154, ""combined"": 0.011054344922304154}","[' underway', ' ongoing', 'ongoing', ' commenced', 'Ongoing']",0
413,1.2111933901906014e-06,1.2111933901906014e-06,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 1.2111933901906014e-06}","[' bodybuilding', ' muscle', 'muscle', ' Muscle', 'Muscle']",1
309,4.489123821258545e-07,4.489123821258545e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 4.489123821258545e-07}","[' Tampa', 'Tampa', ' Hillsborough', 'tampa', ' tampa']",1
645,0.16674674415588378,0.16674674415588378,question,"combined,question","{""question"": 0.16674674415588378, ""combined"": 0.16674674415588378}","[' dream', ' dreams', 'dream', ' dreaming', 'dreams']",2
159,0.00011777824722230435,0.00011777824722230435,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.00011777824722230435}","[' inspired', ' idea', 'Inspired', 'inspired', ' ideia']",2
388,5.044438876211643e-08,5.044438876211643e-08,question,"combined,question","{""question"": 5.044438876211643e-08, ""combined"": 5.044438876211643e-08}","['今回', ' ahora', ' now', ' nyní', '今回の']",2
796,2.1855082362890244e-05,2.1855082362890244e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.1855082362890244e-05, ""question"": 2.1855082362890244e-05, ""combined"": 2.1855082362890244e-05}","[' Steve', '\x04', ' Jobs', 'PLANATION', ' stephen']",3
323,1.0524457320570946e-07,1.0524457320570946e-07,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 1.0524457320570946e-07, ""combined"": 1.0524457320570946e-07}","['://', ' الحره', ' autorytatywna', 'httphttps', 'wikidata']",3
8,0.006480765581130981,0.006480765581130981,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.006480765581130981, ""question"": 0.006480765581130981, ""combined"": 0.006480765581130981}","[' ceremony', ' ceremonies', ' ceremon', ' Ceremony', ' ceremonia']",4
147,0.0018470001630485058,0.0018470001630485058,question,question,"{""question"": 0.0018470001630485058}","[' legally', ' legal', ' regulations', 'legal', ' legality']",4
812,3.6396803334355352e-06,3.6396803334355352e-06,question,"combined,question","{""question"": 3.6396803334355352e-06, ""combined"": 3.6396803334355352e-06}","[' paperwork', ' trámite', ' trámites', ' tramit', ' procedures']",4
690,8.583487942814827e-07,8.583487942814827e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 8.583487942814827e-07}","[' ritual', ' ceremony', ' ceremonies', ' rituals', ' Ritual']",4
260,0.10461344051361084,0.10461344051361084,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.10461344051361084, ""question"": 0.10461344051361084, ""combined"": 0.10461344051361084}","[' transaction', ' Transaction', 'transaction', 'Transaction', ' transactional']",5
104,0.002750074416399002,0.002750074416399002,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.002750074416399002, ""question"": 0.002750074416399002, ""combined"": 0.002750074416399002}","[' phosphorylation', ' kinase', ' phosphory', 'phosph', ' kinases']",5
137,0.0002904801201075316,0.0002904801201075316,question,question,"{""question"": 0.0002904801201075316}","[' cytotoxicity', ' assays', ' assay', ' Assays', 'culture']",5
208,0.15490541124343873,0.15490541124343873,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.15490541124343873, ""question"": 0.15490541124343873, ""combined"": 0.15490541124343873}","['This', ' this', 'Okay', 'Interesting', ' This']",6
105,0.0008891380298882723,0.0008891380298882723,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0008891380298882723, ""question"": 0.0008891380298882723, ""combined"": 0.0008891380298882723}","[' script', ' story', ' poem', ' please', ' lyrics']",6
361,6.969278678297997e-06,6.969278678297997e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 6.969278678297997e-06, ""question"": 6.969278678297997e-06, ""combined"": 6.969278678297997e-06}","[' date', 'date', 'DATE', 'Date', ' Date']",6
481,3.656800836324692e-06,3.656800836324692e-06,question,question,"{""question"": 3.656800836324692e-06}","[' sentence', '这句话', ' Sentence', ' frase', ' sentences']",6
599,1.0524457320570946e-07,1.0524457320570946e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 1.0524457320570946e-07, ""question"": 1.0524457320570946e-07, ""combined"": 1.0524457320570946e-07}","['<h1>', '\n\n', '\n', '\n\n\n', '    ']",6
121,0.44384592247009275,0.44384592247009275,question,question,"{""question"": 0.44384592247009275}","[' answer', ' answers', ' answered', 'answer', ' Answer']",7
365,0.010894179582595824,0.010894179582595824,question,question,"{""question"": 0.010894179582595824}","[' address', ' addresses', 'address', ' Address', ' ADDRESS']",7
119,0.9902305068969727,0.9902305068969727,question,question,"{""question"": 0.9902305068969727}","[' ""', ' “', '「', '“', ' „']",8
741,0.28320091247558593,0.28320091247558593,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.28320091247558593, ""question"": 0.28320091247558593, ""combined"": 0.28320091247558593}","[' •', '•', '*', ' *', ' -']",8
158,0.6313451900482178,0.6313451900482178,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.6313451900482178}","[' some', ' quelques', 'some', ' einige', 'Some']",9
592,0.00384305227547884,0.00384305227547884,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.00384305227547884, ""question"": 0.00384305227547884, ""combined"": 0.00384305227547884}","[' tbh', ' stuff', ' here', ' honestly', ' myself']",9
785,2.7169231325387954e-06,2.7169231325387954e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.7169231325387954e-06, ""question"": 2.7169231325387954e-06, ""combined"": 2.7169231325387954e-06}","[' excellently', ' admirably', ' deft', ' throughout', ' skillfully']",9
287,0.003335679106414318,0.003335679106414318,question,"combined,question","{""question"": 0.003335679106414318, ""combined"": 0.003335679106414318}","[' ten', ' twelve', 'Twelve', ' Twelve', ' eleven']",10
703,6.273607723414898e-07,6.273607723414898e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 6.273607723414898e-07, ""question"": 6.273607723414898e-07, ""combined"": 6.273607723414898e-07}","[' WAC', ' GAC', ' Wic', ' Alec', ' Hec']",10
117,5.4924828000366694e-05,5.4924828000366694e-05,question,"combined,question","{""question"": 5.4924828000366694e-05, ""combined"": 5.4924828000366694e-05}","[' skin', ' Skin', 'skin', ' dermat', 'Skin']",11
98,3.346513211727142e-05,3.346513211727142e-05,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 3.346513211727142e-05}","[' embarrassed', ' embarrassment', ' embarrassing', 'Embar', ' embarrass']",11
227,5.303984507918358e-06,5.303984507918358e-06,question,"combined,question","{""question"": 5.303984507918358e-06, ""combined"": 5.303984507918358e-06}","[' racism', ' racist', ' racial', ' racially', ' Racism']",11
248,4.9958808813244105e-06,4.9958808813244105e-06,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 4.9958808813244105e-06, ""question"": 4.9958808813244105e-06, ""combined"": 4.9958808813244105e-06}","['EndContext', 'UnusedPrivate', ' actualidad', 'ArgsConstructor', ' almofada']",12
581,5.044438876211643e-08,5.044438876211643e-08,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 5.044438876211643e-08, ""question"": 5.044438876211643e-08, ""combined"": 5.044438876211643e-08}","[').', 'a', ' cited', 'b', ';']",12
95,0.0007636424750089645,0.0007636424750089645,question,"combined,question","{""question"": 0.0007636424750089645, ""combined"": 0.0007636424750089645}","[' implement', ' mechanism', ' implemented', ' implementation', 'tagHelperRunner']",13
96,2.097814343869686e-06,2.097814343869686e-06,question,question,"{""question"": 2.097814343869686e-06}","[' interface', 'interface', ' abstract', ' abſ', ' enum']",13
191,0.022658328115940093,0.022658328115940093,question,question,"{""question"": 0.022658328115940093}","['\n\n', '\n', 'private', '\n\n\n', ' private']",14
650,2.5419507175683976e-05,2.5419507175683976e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.5419507175683976e-05, ""question"": 2.5419507175683976e-05, ""combined"": 2.5419507175683976e-05}","['"">//', 'reportWebVitals', 'WebVitals', 'GeoNames', 'VersionUID']",14
303,2.75543425232172e-07,2.75543425232172e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.75543425232172e-07, ""question"": 2.75543425232172e-07, ""combined"": 2.75543425232172e-07}","['react', ' React', 'React', ' react', ' StatefulWidget']",14
482,2.182070165872574e-07,2.182070165872574e-07,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 2.182070165872574e-07}","[';}', ';', ' (', ' guapo', '(\r']",14
55,2.176668494939804e-07,2.176668494939804e-07,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 2.176668494939804e-07, ""question"": 2.176668494939804e-07, ""combined"": 2.176668494939804e-07}","['InstanceState', 'IsUnicode', ' introduced', '”', 'cstdio']",14
109,0.003806710958480835,0.003806710958480835,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.003806710958480835, ""question"": 0.003806710958480835, ""combined"": 0.003806710958480835}","[' black', ' secondary', 'RegressionTest', ' neutrals', ' primary']",15
