feature_id,output_score_agg,best_output_score,best_vocab,vocabs_present,per_vocab_scores_json,top_tokens_str,cluster
52,0.9975546970367432,0.9975546970367432,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.9975546970367432, ""question"": 0.9975546970367432, ""combined"": 0.9975546970367432}","[',', '、', ' highly', ' yet', ' colourful']",0
467,0.9956015796661377,0.9956015796661377,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.9956015796661377, ""question"": 0.9956015796661377, ""combined"": 0.9956015796661377}","['-', '‐', ' chrétien', '‑', ' Inscrivez']",0
119,0.9902305068969727,0.9902305068969727,question,question,"{""question"": 0.9902305068969727}","[' ""', ' “', '「', '“', ' „']",0
720,0.9550743942260742,0.9550743942260742,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.9550743942260742, ""question"": 0.9550743942260742, ""combined"": 0.9550743942260742}","[' {', '({', '{', "" {'"", ' {""']",0
631,0.6533177604675293,0.6533177604675293,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.6533177604675293, ""question"": 0.6533177604675293, ""combined"": 0.6533177604675293}","[' be', ' have', ' become', ' take', ' come']",0
741,0.28320091247558593,0.28320091247558593,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.28320091247558593, ""question"": 0.28320091247558593, ""combined"": 0.28320091247558593}","[' •', '•', '*', ' *', ' -']",0
485,0.2814930410385132,0.2814930410385132,question,"combined,question","{""question"": 0.2814930410385132, ""combined"": 0.2814930410385132}","[' onwards', ' onward', ' upwards', ' downwards', ' forward']",0
809,0.14782541608810426,0.14782541608810426,clar_vocab2,"clar_vocab2,combined","{""clar_vocab2"": 0.14782541608810426, ""combined"": 0.14782541608810426}","[' effect', 'effect', ' effects', 'Effect', 'effects']",0
260,0.10461344051361084,0.10461344051361084,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.10461344051361084, ""question"": 0.10461344051361084, ""combined"": 0.10461344051361084}","[' transaction', ' Transaction', 'transaction', 'Transaction', ' transactional']",0
459,0.0996085968017578,0.0996085968017578,question,"combined,question","{""question"": 0.0996085968017578, ""combined"": 0.0996085968017578}","[' freedom', 'freedom', ' free', ' freely', ' Freedom']",0
308,0.08752373027801513,0.08752373027801513,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.08752373027801513}","[' how', ' why', ' cómo', ' bagaimana', 'how']",0
386,0.014716699630022048,0.014716699630022048,question,"combined,question","{""question"": 0.014716699630022048, ""combined"": 0.014716699630022048}","[' automatic', ' optional', ' Bluetooth', ' Automatic', 'automatic']",0
201,0.011054344922304154,0.011054344922304154,question,"combined,question","{""question"": 0.011054344922304154, ""combined"": 0.011054344922304154}","[' underway', ' ongoing', 'ongoing', ' commenced', 'Ongoing']",0
8,0.006480765581130981,0.006480765581130981,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.006480765581130981, ""question"": 0.006480765581130981, ""combined"": 0.006480765581130981}","[' ceremony', ' ceremonies', ' ceremon', ' Ceremony', ' ceremonia']",0
287,0.003335679106414318,0.003335679106414318,question,"combined,question","{""question"": 0.003335679106414318, ""combined"": 0.003335679106414318}","[' ten', ' twelve', 'Twelve', ' Twelve', ' eleven']",0
104,0.002750074416399002,0.002750074416399002,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.002750074416399002, ""question"": 0.002750074416399002, ""combined"": 0.002750074416399002}","[' phosphorylation', ' kinase', ' phosphory', 'phosph', ' kinases']",0
110,0.0021797588467597964,0.0021797588467597964,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0021797588467597964, ""question"": 0.0021797588467597964, ""combined"": 0.0021797588467597964}","[' upon', ' UPON', ' Upon', 'mektedir', ' utilice']",0
147,0.0018470001630485058,0.0018470001630485058,question,question,"{""question"": 0.0018470001630485058}","[' legally', ' legal', ' regulations', 'legal', ' legality']",0
37,0.0007851268518716096,0.0007851268518716096,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.0007851268518716096}","[' amenities', ' shops', ' restaurants', ' conveniences', ' schools']",0
184,0.00043496263679116965,0.00043496263679116965,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.00043496263679116965, ""question"": 0.00043496263679116965, ""combined"": 0.00043496263679116965}","[' dis', ' Dis', 'Dis', 'dis', ' DIS']",0
111,0.00034246697556227445,0.00034246697556227445,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 0.00034246697556227445}","[' Bug', ' BUG', 'Bug', ' bug', 'bug']",0
137,0.0002904801201075316,0.0002904801201075316,question,question,"{""question"": 0.0002904801201075316}","[' cytotoxicity', ' assays', ' assay', ' Assays', 'culture']",0
206,0.0001782959746196866,0.0001782959746196866,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 0.0001782959746196866, ""question"": 0.0001782959746196866, ""combined"": 0.0001782959746196866}","[' announced', ' officially', ' launched', 'featureID', ' disambiguazione']",0
344,5.718250852078199e-05,5.718250852078199e-05,question,question,"{""question"": 5.718250852078199e-05}","[' finished', '刚刚', ' newly', ' recién', '剛']",0
117,5.4924828000366694e-05,5.4924828000366694e-05,question,"combined,question","{""question"": 5.4924828000366694e-05, ""combined"": 5.4924828000366694e-05}","[' skin', ' Skin', 'skin', ' dermat', 'Skin']",0
582,5.367812421172857e-05,5.367812421172857e-05,clar_vocab2,"clar_vocab2,combined,question","{""clar_vocab2"": 5.367812421172857e-05, ""question"": 5.367812421172857e-05, ""combined"": 5.367812421172857e-05}","[' Ig', ' ig', 'Ign', ' rig', 'Ig']",0
98,3.346513211727142e-05,3.346513211727142e-05,clar_vocab2,clar_vocab2,"{""clar_vocab2"": 3.346513211727142e-05}","[' embarrassed', ' embarrassment', ' embarrassing', 'Embar', ' embarrass']",0
